Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
Jannaschia rubra	Proteobacteria	Rhodobacterales	Jannaschia	282197	1	1	0	0	1
Nereida ignava	Proteobacteria	Rhodobacterales	Nereida	282199	1	0	0	0	1
Bacillus sp. DW5-4	Firmicutes	Bacillales	Bacillus	1178540	0	0	0	1	1
Photobacterium leiognathi	Proteobacteria	Vibrionales	Photobacterium	553611	0	0	1	1	1
Flaviramulus ichthyoenteri	Bacteroidetes	Flavobacteriales	Flaviramulus	1230531	0	0	1	1	1
Sinomonas humi	Actinobacteria	Micrococcales	Sinomonas	1338436	0	0	0	1	0
Salisaeta longa	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Salisaeta	503170	0	0	0	1	0
Kiloniella litopenaei	Proteobacteria	Kiloniellales	Kiloniella	1549748	1	1	1	1	0
Pantoea sp. CFSAN033090	Proteobacteria	Enterobacteriales	Pantoea	1690502	0	0	1	1	1
Klebsiella sp. 1_1_55	Proteobacteria	Enterobacteriales	Klebsiella	469608	1	0	1	1	1
Streptomyces avicenniae	Actinobacteria	Streptomycetales	Streptomyces	500153	0	1	1	1	0
Anoxybacillus sp. DT3-1	Firmicutes	Bacillales	Anoxybacillus	690871	0	0	1	1	1
Mesorhizobium metallidurans	Proteobacteria	Rhizobiales	Mesorhizobium	489722	1	1	1	1	0
Nocardia asiatica	Actinobacteria	Corynebacteriales	Nocardia	209252	1	1	1	1	0
Croceicoccus naphthovorans	Proteobacteria	Sphingomonadales	Croceicoccus	1348774	0	0	1	1	0
Streptomyces sp. 769	Actinobacteria	Streptomycetales	Streptomyces	1262452	1	1	0	1	0
Gemmobacter nectariphilus	Proteobacteria	Rhodobacterales	Gemmobacter	220343	0	0	0	0	1
Brachyspira hampsonii	Spirochaetes	Brachyspirales	Brachyspira	1287055	0	0	0	0	0
Bacillus sp. OxB-1	Firmicutes	Bacillales	Bacillus	98228	1	1	1	1	1
Pantoea anthophila	Proteobacteria	Enterobacteriales	Pantoea	470931	0	0	1	1	1
Prevotella copri CAG:164	Bacteroidetes	Bacteroidales	Prevotella	1263102	0	0	0	1	0
Lactobacillus mindensis	Firmicutes	Lactobacillales	Lactobacillus	167481	0	0	0	0	0
Pantoea vagans	Proteobacteria	Enterobacteriales	Pantoea	470934	0	0	1	1	1
Psychromonas sp. CNPT3	Proteobacteria	Alteromonadales	Psychromonas	314282	0	0	1	1	1
Comamonadaceae bacterium BICA1-1	Proteobacteria	Burkholderiales	root	1531963	1	1	1	1	0
Bdellovibrio bacteriovorus	Proteobacteria	Bdellovibrionales	Bdellovibrio	959	0	0	0	1	1
Paenibacillus dendritiformis	Firmicutes	Bacillales	Paenibacillus	130049	1	1	1	1	1
Streptacidiphilus jiangxiensis	Actinobacteria	Streptomycetales	Streptacidiphilus	235985	0	1	0	1	0
Deinococcus grandis	Deinococcus-Thermus	Deinococcales	Deinococcus	57498	0	0	0	1	0
Wolbachia pipientis	Proteobacteria	Rickettsiales	Wolbachia	955	0	0	0	0	0
Mycobacterium kansasii	Actinobacteria	Corynebacteriales	Mycobacterium	1768	1	1	1	1	0
Enterococcus rotai	Firmicutes	Lactobacillales	Enterococcus	118060	0	0	0	0	1
Arthrobacter sp. PAO19	Actinobacteria	Micrococcales	Arthrobacter	1096756	0	0	1	1	0
Enterobacter sp. MGH120	Proteobacteria	Enterobacteriales	Enterobacter	1686392	0	0	1	1	1
Frankia alni	Actinobacteria	Frankiales	Frankia	1859	1	0	0	1	0
Gordonia alkanivorans	Actinobacteria	Corynebacteriales	Gordonia	84096	1	1	1	1	0
Streptomyces sp. MBT28	Actinobacteria	Streptomycetales	Streptomyces	1488357	0	1	0	0	0
Bacteroides cellulosilyticus CAG:158	Bacteroidetes	Bacteroidales	Bacteroides	1263038	1	0	1	1	0
Enterobacter sp. MGH119	Proteobacteria	Enterobacteriales	Enterobacter	1686391	0	0	1	1	1
Acidaminococcus intestini CAG:325	Firmicutes	Selenomonadales	Acidaminococcus	1263033	0	0	1	0	0
Firmicutes bacterium CAG:56	Firmicutes	root	root	1263031	1	0	0	1	1
Bacteroides caccae CAG:21	Bacteroidetes	Bacteroidales	Bacteroides	1263037	0	0	1	1	0
Akkermansia muciniphila CAG:154	Verrucomicrobia	Verrucomicrobiales	Akkermansia	1263034	0	0	1	1	1
Alistipes finegoldii CAG:68	Bacteroidetes	Bacteroidales	Alistipes	1263035	0	1	0	1	0
Enterobacter sp. BIDMC87	Proteobacteria	Enterobacteriales	Enterobacter	1686395	0	0	1	1	1
Mycobacterium intracellulare	Actinobacteria	Corynebacteriales	Mycobacterium	1767	1	0	0	0	0
