Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
Blautia schinkii	Firmicutes	Clostridiales	Blautia	180164	1	0	0	0	1
Calditerrivibrio nitroreducens	Deferribacteres	Deferribacterales	Calditerrivibrio	477976	1	0	0	1	0
Leifsonia sp. Leaf336	Actinobacteria	Micrococcales	Leifsonia	1736341	0	0	0	1	0
Agreia sp. Leaf335	Actinobacteria	Micrococcales	Agreia	1736340	0	0	0	1	1
Sphingomonas sp. Leaf339	Proteobacteria	Sphingomonadales	Sphingomonas	1736343	0	0	1	1	0
Arthrobacter sp. Leaf337	Actinobacteria	Micrococcales	Arthrobacter	1736342	0	0	0	1	0
Sphingomonas sp. Leaf343	Proteobacteria	Sphingomonadales	Sphingomonas	1736345	0	0	1	1	0
Rhizobium sp. Leaf341	Proteobacteria	Rhizobiales	Rhizobium	1736344	1	1	0	1	1
Microbacterium sp. Leaf347	Actinobacteria	Micrococcales	Microbacterium	1736347	0	0	0	1	0
Bosea sp. Leaf344	Proteobacteria	Rhizobiales	Bosea	1736346	1	1	0	0	1
Williamsia sp. Leaf354	Actinobacteria	Corynebacteriales	Williamsia	1736349	1	1	0	1	0
Microbacterium sp. Leaf351	Actinobacteria	Micrococcales	Microbacterium	1736348	0	0	0	1	0
Holdemania filiformis	Firmicutes	Erysipelotrichales	Holdemania	61171	0	0	0	0	0
Actinomyces sp. oral taxon 448	Actinobacteria	Actinomycetales	Actinomyces	712124	0	0	0	0	0
Streptomyces sp. NRRL B-24720	Actinobacteria	Streptomycetales	Streptomyces	1476876	1	1	0	1	0
Actinomyces sp. oral taxon 414	Actinobacteria	Actinomycetales	Actinomyces	712122	0	0	0	0	0
Serratia grimesii	Proteobacteria	Enterobacteriales	Serratia	82995	0	0	1	1	1
Serratia plymuthica	Proteobacteria	Enterobacteriales	Serratia	82996	0	0	1	1	1
Hymenobacter sp. MIMtkLc17	Bacteroidetes	Cytophagales	Hymenobacter	1629124	0	1	0	0	1
Roseburia intestinalis	Firmicutes	Clostridiales	Roseburia	166486	0	0	0	1	0
Pseudomonas sp. BRG-100	Proteobacteria	Pseudomonadales	Pseudomonas	1524267	1	1	1	1	1
Streptomyces himastatinicus	Actinobacteria	Streptomycetales	Streptomyces	998084	0	0	0	1	1
Thermus aquaticus	Deinococcus-Thermus	Thermales	Thermus	271	1	0	0	1	0
Thermus thermophilus	Deinococcus-Thermus	Thermales	Thermus	274	1	1	0	1	1
Thermus filiformis	Deinococcus-Thermus	Thermales	Thermus	276	1	0	0	1	1
Meiothermus ruber	Deinococcus-Thermus	Thermales	Meiothermus	277	0	0	0	0	1
Listeria fleischmannii	Firmicutes	Bacillales	Listeria	1069827	0	0	0	0	1
Clostridium sp. 12(A)	Firmicutes	Clostridiales	Clostridium	1163671	1	0	0	0	0
Bacteroides sp. 14(A)	Bacteroidetes	Bacteroidales	Bacteroides	1163670	0	0	0	0	0
Enterobacteriaceae bacterium LSJC7	Proteobacteria	Enterobacteriales	root	1224136	0	0	1	1	1
Streptomyces sp. JHA19	Actinobacteria	Streptomycetales	Streptomyces	1577588	1	1	0	1	0
Marinomonas mediterranea	Proteobacteria	Oceanospirillales	Marinomonas	119864	1	1	1	1	1
Mesotoga prima	Thermotogae	Kosmotogales	Mesotoga	1184387	0	0	0	0	0
Actinoplanes rectilineatus	Actinobacteria	Micromonosporales	Actinoplanes	113571	1	1	1	1	0
Bacillus sp. NRRL B-41092	Firmicutes	Bacillales	Bacillus	1793964	0	0	1	1	1
Cellulomonas sp. URHD0024	Actinobacteria	Micrococcales	Cellulomonas	1302620	0	0	0	1	0
Burkholderia kururiensis	Proteobacteria	Burkholderiales	Burkholderia	984307	1	1	1	1	0
Bacillus sp. NRRL B-41091	Firmicutes	Bacillales	Bacillus	1793963	0	0	1	1	1
Thioalkalivibrio sp. ALMg11	Proteobacteria	Chromatiales	Thioalkalivibrio	1158165	1	1	1	1	1
bacterium SM23_31	root	root	root	1703762	0	0	0	0	0
candidate division BRC1 bacterium SM23_51	root	root	root	1703761	0	0	0	0	1
Brachybacterium muris	Actinobacteria	Micrococcales	Brachybacterium	219301	0	0	0	0	0
Micromonospora sp. ATCC 39149	Actinobacteria	Micromonosporales	Micromonospora	219305	0	1	1	1	0
Caulobacter sp. UNC358MFTsu5.1	Proteobacteria	Caulobacterales	Caulobacter	1449049	0	0	1	1	1
Mycobacterium sp. UNC280MFTsu5.1	Actinobacteria	Corynebacteriales	Mycobacterium	1449048	1	0	0	0	0
Bacillus sp. UNC322MFChir4.1	Firmicutes	Bacillales	Bacillus	1449045	0	0	1	1	1
Arthrobacter sp. UNC362MFTsu5.1	Actinobacteria	Micrococcales	Arthrobacter	1449044	0	0	0	1	0
Bacillus sp. UNC41MFS5	Firmicutes	Bacillales	Bacillus	1449046	1	0	0	1	1
Ammonifex degensii	Firmicutes	Thermoanaerobacterales	Ammonifex	42838	1	1	0	1	1
Citromicrobium sp. RCC1885	Proteobacteria	Sphingomonadales	Citromicrobium	1647104	0	0	0	1	0
Clostridium chauvoei	Firmicutes	Clostridiales	Clostridium	46867	1	0	0	0	1
Citromicrobium sp. RCC1878	Proteobacteria	Sphingomonadales	Citromicrobium	1647103	0	0	0	1	0
Chryseobacterium sp. OV705	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500289	0	0	1	1	0
Chryseobacterium sp. YR005	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500288	0	0	1	0	0
Chryseobacterium sp. OV715	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500287	0	0	1	1	0
Chryseobacterium sp. OV259	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500286	0	0	1	1	0
Lechevalieria aerocolonigenes	Actinobacteria	Pseudonocardiales	Lechevalieria	68170	1	1	1	1	0
Chryseobacterium sp. CF356	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500283	0	0	0	1	0
Chryseobacterium sp. CF365	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500282	0	0	1	1	0
Herbiconiux sp. YR403	Actinobacteria	Micrococcales	Herbiconiux	1500280	0	0	0	1	0
Lactobacillus parafarraginis	Firmicutes	Lactobacillales	Lactobacillus	390842	0	0	0	1	0
Planococcus maritimus	Firmicutes	Bacillales	Planococcus	192421	0	0	0	1	1
Lactobacillus farraginis	Firmicutes	Lactobacillales	Lactobacillus	390841	0	0	0	1	0
Terrisporobacter glycolicus	Firmicutes	Clostridiales	Terrisporobacter	36841	1	0	0	1	1
Ruegeria sp. 6PALISEP08	Proteobacteria	Rhodobacterales	Ruegeria	1225660	1	1	1	1	0
Oxobacter pfennigii	Firmicutes	Clostridiales	Oxobacter	36849	1	0	0	1	0
Staphylococcus lentus	Firmicutes	Bacillales	Staphylococcus	42858	0	0	0	0	0
Streptomyces violaceusniger	Actinobacteria	Streptomycetales	Streptomyces	68280	1	1	0	1	0
Pseudoalteromonas sp. 13-15	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761891	0	0	1	1	1
Pseudoalteromonas sp. 10-33	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761890	0	0	1	1	1
Pseudoalteromonas sp. H103	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761893	0	0	1	1	1
Amycolatopsis japonica	Actinobacteria	Pseudonocardiales	Amycolatopsis	208439	1	1	0	1	0
Stenotrophomonas pavanii	Proteobacteria	Xanthomonadales	Stenotrophomonas	487698	0	0	1	0	0
Acinetobacter indicus	Proteobacteria	Pseudomonadales	Acinetobacter	756892	0	0	1	1	1
Thauera sp. 28	Proteobacteria	Rhodocyclales	Thauera	303682	1	1	1	1	0
Halomonas sp. PR-M31	Proteobacteria	Oceanospirillales	Halomonas	1471202	0	1	1	1	1
Acetobacter syzygii	Proteobacteria	Rhodospirillales	Acetobacter	146476	1	1	1	1	1
Parasutterella excrementihominis CAG:233	Proteobacteria	Burkholderiales	Parasutterella	1263099	0	0	0	0	0
Acetobacter orientalis	Proteobacteria	Rhodospirillales	Acetobacter	146474	1	1	1	1	1
Acetobacter cibinongensis	Proteobacteria	Rhodospirillales	Acetobacter	146475	1	1	1	1	1
Odoribacter splanchnicus CAG:14	Bacteroidetes	Bacteroidales	Odoribacter	1263090	1	0	1	1	0
Parabacteroides johnsonii CAG:246	Bacteroidetes	Bacteroidales	Parabacteroides	1263091	1	0	1	1	0
Parabacteroides merdae CAG:48	Bacteroidetes	Bacteroidales	Parabacteroides	1263094	1	0	1	1	0
Paraprevotella clara CAG:116	Bacteroidetes	Bacteroidales	Paraprevotella	1263095	0	0	1	1	0
Streptomyces sp. NRRL S-241	Actinobacteria	Streptomycetales	Streptomyces	1463896	0	1	0	0	0
Streptomyces sp. NRRL S-244	Actinobacteria	Streptomycetales	Streptomyces	1463897	1	1	0	1	0
Streptomyces sp. NRRL S-237	Actinobacteria	Streptomycetales	Streptomyces	1463895	1	1	0	0	0
Streptomyces sp. NRRL S-1868	Actinobacteria	Streptomycetales	Streptomyces	1463892	0	1	0	1	0
Streptomyces sp. NRRL S-31	Actinobacteria	Streptomycetales	Streptomyces	1463898	1	1	0	1	0
Streptomyces sp. NRRL S-325	Actinobacteria	Streptomycetales	Streptomyces	1463899	0	1	0	0	0
Clostridium drakei	Firmicutes	Clostridiales	Clostridium	332101	0	0	0	1	1
Bordetella parapertussis	Proteobacteria	Burkholderiales	Bordetella	519	0	0	1	0	1
Oscillibacter ruminantium	Firmicutes	Clostridiales	Oscillibacter	1263547	0	0	0	0	0
Bordetella bronchiseptica	Proteobacteria	Burkholderiales	Bordetella	518	0	0	1	1	1
Alteromonas marina	Proteobacteria	Alteromonadales	Alteromonas	203795	0	0	1	1	1
Devosia sp. LC5	Proteobacteria	Rhizobiales	Devosia	1502724	1	1	0	1	1
bacterium F083	root	root	root	1768114	0	0	0	1	0
bacterium P3	root	root	root	1768113	0	0	0	1	0
Frankia sp. CpI1-S	Actinobacteria	Frankiales	Frankia	1502723	1	1	0	1	0
Luteimonas mephitis	Proteobacteria	Xanthomonadales	Luteimonas	83615	0	0	1	0	0
Stenotrophomonas nitritireducens	Proteobacteria	Xanthomonadales	Stenotrophomonas	83617	0	0	1	0	0
Nocardioides halotolerans	Actinobacteria	Propionibacteriales	Nocardioides	433660	0	0	0	1	1
Aphanizomenon flos-aquae	Cyanobacteria	Nostocales	Aphanizomenon	1176	1	0	1	1	0
Coprobacter secundus	Bacteroidetes	Bacteroidales	Coprobacter	1501392	0	0	1	1	0
Alistipes inops	Bacteroidetes	Bacteroidales	Alistipes	1501391	0	0	0	1	0
Bradyrhizobium sp. WSM471	Proteobacteria	Rhizobiales	Bradyrhizobium	319017	1	1	1	1	0
Rhodanobacter thiooxydans	Proteobacteria	Xanthomonadales	Rhodanobacter	416169	0	0	1	1	1
Mycobacterium sp. 155	Actinobacteria	Corynebacteriales	Mycobacterium	1157943	1	0	1	1	0
Arthrobacter sp. 131MFCol6.1	Actinobacteria	Micrococcales	Arthrobacter	1157944	0	0	0	1	0
Brevibacterium sp. VCM10	Actinobacteria	Micrococcales	Brevibacterium	1381751	0	0	0	1	0
Streptomyces sp. Tu 6176	Actinobacteria	Streptomycetales	Streptomyces	1470557	0	1	0	0	0
Rhodobacteraceae bacterium HIMB11	Proteobacteria	Rhodobacterales	root	1366046	1	1	0	0	1
Aminiphilus circumscriptus	Synergistetes	Synergistales	Aminiphilus	290732	1	1	0	0	1
Cupriavidus sp. SK-3	Proteobacteria	Burkholderiales	Cupriavidus	1470558	0	1	1	1	0
Pseudoalteromonas sp. SCSIO_11900	Proteobacteria	Alteromonadales	Pseudoalteromonas	1461766	0	0	1	1	1
Jeotgalibacillus soli Cunha et al. 2012	Firmicutes	Bacillales	Jeotgalibacillus	889306	0	0	0	0	1
Thermoactinomyces vulgaris	Firmicutes	Bacillales	Thermoactinomyces	2026	1	1	1	1	1
Lacinutrix jangbogonensis	Bacteroidetes	Flavobacteriales	Lacinutrix	1469557	0	0	0	0	1
Solirubrobacter sp. URHD0082	Actinobacteria	Solirubrobacterales	Solirubrobacter	1298857	0	0	1	1	1
Novosphingobium sp. B-7	Proteobacteria	Sphingomonadales	Novosphingobium	1298855	0	0	0	0	0
Shigella dysenteriae	Proteobacteria	Enterobacteriales	Shigella	622	0	0	1	1	1
Nocardia cerradoensis	Actinobacteria	Corynebacteriales	Nocardia	85688	0	1	0	1	0
Candidatus Tenderia electrophaga	Proteobacteria	Chromatiales	Candidatus Tenderia	1748243	0	0	1	1	1
Mesorhizobium sp. URHA0056	Proteobacteria	Rhizobiales	Mesorhizobium	1298858	1	0	0	0	0
Burkholderia sp. URHA0054	Proteobacteria	Burkholderiales	Burkholderia	1298859	1	1	1	0	0
Bacillus sp. CPSM8	Firmicutes	Bacillales	Bacillus	1202457	0	0	1	1	1
Arthrobacter sp. YC-RL1	Actinobacteria	Micrococcales	Arthrobacter	1652545	0	0	0	1	0
Marinobacter hydrocarbonoclasticus	Proteobacteria	Alteromonadales	Marinobacter	2743	0	1	1	0	1
Streptomyces sp. NRRL B-1347	Actinobacteria	Streptomycetales	Streptomyces	1476877	1	1	0	1	0
Pseudoxanthomonas sp. Root65	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	1736576	0	0	1	0	0
Rhizobium sp. Root651	Proteobacteria	Rhizobiales	Rhizobium	1736577	1	1	1	1	0
Pseudoxanthomonas sp. Root630	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	1736574	0	0	1	1	0
Devosia sp. Root635	Proteobacteria	Rhizobiales	Devosia	1736575	1	0	0	1	1
Rhodanobacter sp. Root627	Proteobacteria	Xanthomonadales	Rhodanobacter	1736572	0	0	1	1	1
Streptomyces sp. Root63	Actinobacteria	Streptomycetales	Streptomyces	1736573	1	1	0	1	0
Microbacterium sp. Root61	Actinobacteria	Micrococcales	Microbacterium	1736570	0	0	0	1	1
Nocardioides sp. Root614	Actinobacteria	Propionibacteriales	Nocardioides	1736571	1	1	0	1	0
Curvibacter putative symbiont of Hydra magnipapillata	Proteobacteria	Burkholderiales	Curvibacter	667019	0	0	0	1	0
Caulobacter sp. Root655	Proteobacteria	Caulobacterales	Caulobacter	1736578	0	0	1	1	1
Caulobacter sp. Root656	Proteobacteria	Caulobacterales	Caulobacter	1736579	0	0	0	1	1
Xenorhabdus nematophila	Proteobacteria	Enterobacteriales	Xenorhabdus	628	1	0	1	0	1
Halomonas elongata	Proteobacteria	Oceanospirillales	Halomonas	2746	1	1	1	1	1
Ornithinibacillus scapharcae	Firmicutes	Bacillales	Ornithinibacillus	1147159	0	0	0	0	1
Delftia tsuruhatensis	Proteobacteria	Burkholderiales	Delftia	180282	1	1	1	1	0
Cyanobium sp. PCC 7001	Cyanobacteria	Chroococcales	Cyanobium	180281	0	0	1	1	0
Pseudomonas sp. CFII68	Proteobacteria	Pseudomonadales	Pseudomonas	911243	1	1	1	1	1
Thioalkalivibrio sulfidiphilus	Proteobacteria	Chromatiales	Thioalkalivibrio	1033854	0	0	1	1	1
Streptomyces sp. NBRC 110030	Actinobacteria	Streptomycetales	Streptomyces	1550033	0	1	0	0	0
Frankia sp. CcI6	Actinobacteria	Frankiales	Frankia	1352929	1	1	0	1	0
Rhizobium phaseoli	Proteobacteria	Rhizobiales	Rhizobium	396	1	1	0	0	0
Cylindrospermopsis raciborskii	Cyanobacteria	Nostocales	Cylindrospermopsis	77022	1	0	1	1	0
Neorhizobium galegae	Proteobacteria	Rhizobiales	Neorhizobium	399	1	1	0	1	1
Rhizobium tropici	Proteobacteria	Rhizobiales	Rhizobium	398	1	1	1	1	0
Halothermothrix orenii	Firmicutes	Halanaerobiales	Halothermothrix	31909	0	1	0	1	0
Frankia sp. CeD	Actinobacteria	Frankiales	Frankia	258230	1	1	0	1	0
Leisingera aquaemixtae	Proteobacteria	Rhodobacterales	Leisingera	1396826	1	1	1	1	1
Roseivivax halodurans	Proteobacteria	Rhodobacterales	Roseivivax	93683	1	0	0	0	1
Tenacibaculum ovolyticum	Bacteroidetes	Flavobacteriales	Tenacibaculum	104270	1	1	1	1	1
Alicyclobacillus acidocaldarius	Firmicutes	Bacillales	Alicyclobacillus	405212	0	0	0	1	1
Sulfurovum sp. AR	Proteobacteria	root	Sulfurovum	1165841	0	0	1	1	0
Leptospira terpstrae	Spirochaetes	root	Leptospira	293075	0	0	1	1	0
Phaeobacter sp. CECT 5382	Proteobacteria	Rhodobacterales	Phaeobacter	1712645	1	1	1	1	1
Sphingomonas sp. S17	Proteobacteria	Sphingomonadales	Sphingomonas	1007104	1	1	1	1	0
Pusillimonas sp. T7-7	Proteobacteria	Burkholderiales	Pusillimonas	1007105	0	0	0	0	0
Sulfurospirillum arcachonense	Proteobacteria	Campylobacterales	Sulfurospirillum	57666	0	0	1	1	0
Thiomicrospira sp. Milos-T1	Proteobacteria	Thiotrichales	Thiomicrospira	90813	0	0	1	1	1
Thiomicrospira sp. Milos-T2	Proteobacteria	Thiotrichales	Thiomicrospira	90814	0	0	1	1	1
Brevibacillus agri	Firmicutes	Bacillales	Brevibacillus	51101	1	1	0	0	1
Jiangella muralis	Actinobacteria	Jiangellales	Jiangella	702383	0	0	0	1	0
Streptomyces sp. NRRL WC-3604	Actinobacteria	Streptomycetales	Streptomyces	1609102	1	1	0	1	0
Streptomyces sp. NRRL WC-3605	Actinobacteria	Streptomycetales	Streptomyces	1609103	1	1	0	1	0
Streptomyces sp. NRRL S-1521	Actinobacteria	Streptomycetales	Streptomyces	1609100	1	1	1	1	0
Streptomyces sp. NRRL B-1568	Actinobacteria	Streptomycetales	Streptomyces	1609106	0	0	0	0	0
Clostridium dakarense	Firmicutes	Clostridiales	Clostridium	1301100	1	0	0	0	1
Streptomyces sp. NRRL WC-3753	Actinobacteria	Streptomycetales	Streptomyces	1609104	1	1	0	1	0
Vibrio sp. 16	Proteobacteria	Vibrionales	Vibrio	391586	0	0	1	1	1
Candidatus Entotheonella sp. TSY1	Candidatus Tectomicrobia	root	Candidatus Entotheonella	1429438	1	1	0	1	1
Candidatus Entotheonella sp. TSY2	Candidatus Tectomicrobia	root	Candidatus Entotheonella	1429439	1	1	0	1	1
Leptospira borgpetersenii	Spirochaetes	root	Leptospira	174	1	0	1	1	0
Leptospira interrogans	Spirochaetes	root	Leptospira	173	1	0	1	1	0
Leptospira biflexa	Spirochaetes	root	Leptospira	172	0	0	1	1	0
Bradyrhizobium sp. DOA1	Proteobacteria	Rhizobiales	Bradyrhizobium	1126616	1	1	1	1	0
Perlucidibaca piscinae	Proteobacteria	Pseudomonadales	Perlucidibaca	392589	0	0	0	1	1
Oscillatoria acuminata	Cyanobacteria	Oscillatoriales	Oscillatoria	118323	1	0	1	1	0
Lyngbya aestuarii	Cyanobacteria	Oscillatoriales	Lyngbya	118322	1	0	1	1	0
Neisseria sp. 83E34	Proteobacteria	Neisseriales	Neisseria	1692264	0	0	1	1	0
Methylobacterium platani	Proteobacteria	Rhizobiales	Methylobacterium	427683	1	1	0	1	1
Hyphomonas hirschiana VP5	Proteobacteria	Rhodobacterales	Hyphomonas	1280951	0	0	1	1	1
Vibrio scophthalmi	Proteobacteria	Vibrionales	Vibrio	45658	0	0	1	1	1
Yersinia similis	Proteobacteria	Enterobacteriales	Yersinia	367190	0	0	1	1	1
Kiloniella laminariae	Proteobacteria	Kiloniellales	Kiloniella	454162	1	1	1	1	0
Pseudomonas sp. M1	Proteobacteria	Pseudomonadales	Pseudomonas	95619	1	1	1	1	1
Cupriavidus pinatubonensis	Proteobacteria	Burkholderiales	Cupriavidus	248026	0	0	1	1	0
Actinocatenispora sera	Actinobacteria	Micromonosporales	Actinocatenispora	390989	0	0	0	1	0
Thermodesulfatator atlanticus	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfatator	501497	1	1	1	1	0
Pseudoxanthomonas spadix	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	415229	0	0	0	0	0
Salinivibrio sp. KP-1	Proteobacteria	Vibrionales	Salinivibrio	1406902	0	0	1	1	1
Acinetobacter tandoii	Proteobacteria	Pseudomonadales	Acinetobacter	202954	0	0	0	0	1
Acinetobacter tjernbergiae	Proteobacteria	Pseudomonadales	Acinetobacter	202955	0	0	0	1	1
Acinetobacter towneri	Proteobacteria	Pseudomonadales	Acinetobacter	202956	0	0	1	1	1
Acinetobacter bouvetii	Proteobacteria	Pseudomonadales	Acinetobacter	202951	0	0	1	1	1
Acinetobacter gerneri	Proteobacteria	Pseudomonadales	Acinetobacter	202952	0	0	1	1	1
Olleya sp. ITB9	Bacteroidetes	Flavobacteriales	Olleya	1715648	0	0	0	0	1
Klebsiella cf. planticola B43	Proteobacteria	Enterobacteriales	Klebsiella	95610	0	0	0	1	1
Gemmatimonas aurantiaca	Gemmatimonadetes	Gemmatimonadales	Gemmatimonas	173480	0	0	1	1	1
Curtobacterium sp. B8	Actinobacteria	Micrococcales	Curtobacterium	95611	0	0	0	1	1
Clostridium colicanis	Firmicutes	Clostridiales	Clostridium	179628	1	0	0	0	1
Exiguobacterium acetylicum	Firmicutes	Bacillales	Exiguobacterium	41170	0	0	0	1	1
Roseovarius atlanticus	Proteobacteria	Rhodobacterales	Roseovarius	1641875	1	1	0	0	1
Paenibacillus sp. JCM 10914	Firmicutes	Bacillales	Paenibacillus	1236974	0	0	0	1	1
[Clostridium] termitidis	Firmicutes	Clostridiales	Ruminiclostridium	29371	1	0	0	1	0
Opitutus terrae	Verrucomicrobia	Opitutales	Opitutus	107709	0	0	0	1	1
Thalassobius gelatinovorus	Proteobacteria	Rhodobacterales	Thalassobius	53501	1	0	0	1	1
Amycolatopsis halophila	Actinobacteria	Pseudonocardiales	Amycolatopsis	1069073	1	1	0	1	0
Prevotella stercorea	Bacteroidetes	Bacteroidales	Prevotella	363265	0	0	0	1	0
Streptomyces prasinus	Actinobacteria	Streptomycetales	Streptomyces	67345	1	1	0	0	0
Amycolatopsis lurida NRRL 2430	Actinobacteria	Pseudonocardiales	Amycolatopsis	1460371	1	1	0	1	0
Haliangium ochraceum	Proteobacteria	Myxococcales	Haliangium	80816	0	0	1	1	1
Salinispora arenicola	Actinobacteria	Micromonosporales	Salinispora	168697	1	1	0	1	0
Clostridium sp. KNHs209	Firmicutes	Clostridiales	Clostridium	1469948	1	0	0	1	0
Salinispora tropica	Actinobacteria	Micromonosporales	Salinispora	168695	0	1	0	1	0
Aeromonas molluscorum	Proteobacteria	Aeromonadales	Aeromonas	271417	0	0	1	1	0
Corynebacterium testudinoris	Actinobacteria	Corynebacteriales	Corynebacterium	136857	0	0	0	0	0
Streptococcus dentasini	Firmicutes	Lactobacillales	Streptococcus	1080072	0	0	0	0	0
Polaromonas sp. EUR3 1.2.1	Proteobacteria	Burkholderiales	Polaromonas	1305734	0	0	0	1	0
Oceanicola sp. HL-35	Proteobacteria	Rhodobacterales	Oceanicola	1305735	0	0	0	0	1
Methylobacterium sp. EUR3 AL-11	Proteobacteria	Rhizobiales	Methylobacterium	1305730	0	1	0	0	0
Streptococcus parasanguinis	Firmicutes	Lactobacillales	Streptococcus	1318	1	0	0	0	0
Rhodococcus sp. SC4	Actinobacteria	Corynebacteriales	Rhodococcus	1793160	1	1	1	1	0
Mycobacterium orygis 112400015	Actinobacteria	Corynebacteriales	Mycobacterium	1305739	0	1	0	1	0
Pseudomonas sp. ABFPK	Proteobacteria	Pseudomonadales	Pseudomonas	1636605	1	1	1	1	1
Mycobacterium leprae	Actinobacteria	Corynebacteriales	Mycobacterium	1769	0	0	1	1	0
Streptococcus sp. C150	Firmicutes	Lactobacillales	Streptococcus	435842	0	0	0	0	0
Mycobacterium fortuitum	Actinobacteria	Corynebacteriales	Mycobacterium	1766	1	1	1	1	0
Amycolatopsis thermoflava	Actinobacteria	Pseudonocardiales	Amycolatopsis	84480	1	1	0	1	0
Mycobacterium avium	Actinobacteria	Corynebacteriales	Mycobacterium	1764	1	1	0	1	0
Mycobacterium bovis	Actinobacteria	Corynebacteriales	Mycobacterium	1765	0	1	0	1	0
Francisella sp. W12-1067	Proteobacteria	Thiotrichales	Francisella	1385420	0	0	1	0	0
Brevundimonas abyssalis	Proteobacteria	Caulobacterales	Brevundimonas	1125965	0	0	0	1	0
Streptomyces varsoviensis	Actinobacteria	Streptomycetales	Streptomyces	67373	1	1	1	0	0
Microbacterium oxydans	Actinobacteria	Micrococcales	Microbacterium	82380	0	0	0	1	1
Loktanella cinnabarina	Proteobacteria	Rhodobacterales	Loktanella	1125964	1	1	1	1	0
Firmicutes bacterium CAG:95	Firmicutes	root	root	1262988	1	0	0	0	0
Enterorhabdus mucosicola	Actinobacteria	Eggerthellales	Enterorhabdus	580026	0	0	0	0	0
Leptospirillum ferrodiazotrophum	Nitrospirae	Nitrospirales	Leptospirillum	412449	1	1	0	1	0
Vibrio nereis	Proteobacteria	Vibrionales	Vibrio	693	0	0	1	1	1
Vibrio natriegens	Proteobacteria	Vibrionales	Vibrio	691	0	0	0	1	1
Clostridium novyi	Firmicutes	Clostridiales	Clostridium	1542	1	0	1	1	1
Ahrensia sp. R2A130	Proteobacteria	Rhodobacterales	Ahrensia	744979	1	0	0	1	1
Dyella ginsengisoli	Proteobacteria	Xanthomonadales	Dyella	363848	0	0	1	0	1
Bacillus sp. YP1	Firmicutes	Bacillales	Bacillus	1574141	0	0	1	1	1
Clostridium scatologenes	Firmicutes	Clostridiales	Clostridium	1548	1	0	0	1	1
[Clostridium] sporosphaeroides	Firmicutes	Clostridiales	Ruminiclostridium	1549	0	0	0	0	0
Sphingobium sp. AM	Proteobacteria	Sphingomonadales	Sphingobium	1176302	1	1	1	1	0
Ralstonia sp. UNC404CL21Col	Proteobacteria	Burkholderiales	Ralstonia	1380362	0	0	1	1	0
Shewanella sp. 38A_GOM-205m	Proteobacteria	Alteromonadales	Shewanella	1380363	0	1	1	0	1
Sulfitobacter sp. 20_GPM-1509m	Proteobacteria	Rhodobacterales	Sulfitobacter	1380367	1	1	0	1	1
Rubellimicrobium mesophilum	Proteobacteria	Rhodobacterales	Rubellimicrobium	1123067	1	0	0	0	1
Segetibacter koreensis	Bacteroidetes	Sphingobacteriales	Segetibacter	398037	0	0	0	1	1
Pandoraea thiooxydans	Proteobacteria	Burkholderiales	Pandoraea	445709	0	0	1	1	0
Chlamydia pecorum	Chlamydiae	Chlamydiales	Chlamydia	85991	0	0	1	0	0
Streptomyces sp. CNQ431	Actinobacteria	Streptomycetales	Streptomyces	1571532	1	1	0	0	0
Proteus hauseri	Proteobacteria	Enterobacteriales	Proteus	183417	0	0	1	0	1
Exiguobacterium sibiricum	Firmicutes	Bacillales	Exiguobacterium	332410	0	0	0	1	1
Brachybacterium squillarum	Actinobacteria	Micrococcales	Brachybacterium	661979	0	0	0	0	0
Tannerella sp. CAG:51	Bacteroidetes	Bacteroidales	Tannerella	1262979	0	0	1	1	0
Frondihabitans sp. Leaf304	Actinobacteria	Micrococcales	Frondihabitans	1736329	0	0	0	1	0
Rathayibacter sp. Leaf299	Actinobacteria	Micrococcales	Rathayibacter	1736328	0	0	0	1	0
Bacillus oceanisediminis	Firmicutes	Bacillales	Bacillus	665099	0	0	0	1	1
Microbacterium sp. Leaf288	Actinobacteria	Micrococcales	Microbacterium	1736323	0	0	0	1	0
Nocardioides sp. Leaf285	Actinobacteria	Propionibacteriales	Nocardioides	1736322	1	1	0	1	1
Agreia sp. Leaf283	Actinobacteria	Micrococcales	Agreia	1736321	0	0	0	1	0
Brevundimonas sp. Leaf280	Proteobacteria	Caulobacterales	Brevundimonas	1736320	0	0	0	1	1
Rathayibacter sp. Leaf296	Actinobacteria	Micrococcales	Rathayibacter	1736327	0	0	0	1	0
Rathayibacter sp. Leaf294	Actinobacteria	Micrococcales	Rathayibacter	1736326	0	0	0	1	0
